诗歌标题,朝代,诗人,诗歌内容,解析
六月二十七日望湖楼醉书,宋代,苏轼,黑云翻墨未遮山，白雨跳珠乱入船。卷地风来忽吹散，望湖楼下水如天。,https://so.gushiwen.cn/shiwenv_0eda7b78250a.aspx
山行,唐代,杜牧,远上寒山石径斜，白云生处有人家。(生处 一作：深处)停车坐爱枫林晚，霜叶红于二月花。,https://so.gushiwen.cn/shiwenv_3c36881bd247.aspx
江南春,唐代,杜牧,千里莺啼绿映红，水村山郭酒旗风。南朝四百八十寺，多少楼台烟雨中。,https://so.gushiwen.cn/shiwenv_33cbdb2cf9b3.aspx
江上渔者,宋代,范仲淹,江上往来人，但爱鲈鱼美。君看一叶舟，出没风波里。,https://so.gushiwen.cn/shiwenv_4b21381d3a76.aspx
元日,宋代,王安石,爆竹声中一岁除，春风送暖入屠苏。千门万户曈曈日，总把新桃换旧符。,https://so.gushiwen.cn/shiwenv_a167901c9c90.aspx
泊船瓜洲,宋代,王安石,京口瓜洲一水间，钟山只隔数重山。春风又绿江南岸，明月何时照我还。(又绿 一作：自绿),https://so.gushiwen.cn/shiwenv_df14e6fd217b.aspx
鹿柴,唐代,王维,空山不见人，但闻人语响。返景入深林，复照青苔上。,https://so.gushiwen.cn/shiwenv_e9b1a8b4def0.aspx
示儿,宋代,陆游,死去元知万事空，但悲不见九州同。王师北定中原日，家祭无忘告乃翁。,https://so.gushiwen.cn/shiwenv_966c8a76211f.aspx
小池,宋代,杨万里,泉眼无声惜细流，树阴照水爱晴柔。(阴 一作：荫)小荷才露尖尖角，早有蜻蜓立上头。,https://so.gushiwen.cn/shiwenv_31dd7d07323c.aspx
村居,清代,高鼎,草长莺飞二月天，拂堤杨柳醉春烟。儿童散学归来早，忙趁东风放纸鸢。,https://so.gushiwen.cn/shiwenv_425fb837c387.aspx
所见,清代,袁枚,牧童骑黄牛，歌声振林樾。意欲捕鸣蝉，忽然闭口立。,https://so.gushiwen.cn/shiwenv_58699ebb5e93.aspx
石灰吟,明代,于谦,千锤万凿出深山，烈火焚烧若等闲。(万凿 一作：万击)粉骨碎身浑不怕，要留清白在人间。(浑不怕 一作：全不怕),https://so.gushiwen.cn/shiwenv_c6c93895df0a.aspx
竹石,清代,郑燮,咬定青山不放松，立根原在破岩中。千磨万击还坚劲，任尔东西南北风。,https://so.gushiwen.cn/shiwenv_e5c9337524b7.aspx
游园不值,宋代,叶绍翁,应怜屐齿印苍苔，小扣柴扉久不开。春色满园关不住，一枝红杏出墙来。,https://so.gushiwen.cn/shiwenv_a31b957aba53.aspx
梅花,宋代,王安石,墙角数枝梅，凌寒独自开。遥知不是雪，为有暗香来。,https://so.gushiwen.cn/shiwenv_846e626d74d3.aspx
寻隐者不遇,唐代,贾岛,松下问童子，言师采药去。只在此山中，云深不知处。,https://so.gushiwen.cn/shiwenv_40954072f541.aspx
别董大二首,唐代,高适,千里黄云白日曛，北风吹雁雪纷纷。莫愁前路无知己，天下谁人不识君。六翮飘飖私自怜，一离京洛十余年。丈夫贫贱应未足，今日相逢无酒钱。,https://so.gushiwen.cn/shiwenv_b7289fb613af.aspx
赠花卿,唐代,杜甫,锦城丝管日纷纷，半入江风半入云。 此曲只应天上有，人间能得几回闻。,https://so.gushiwen.cn/shiwenv_a6286328b778.aspx
枫桥夜泊,唐代,张继,月落乌啼霜满天，江枫渔火对愁眠。姑苏城外寒山寺，夜半钟声到客船。,https://so.gushiwen.cn/shiwenv_6fb73f607ad3.aspx
望天门山,唐代,李白,天门中断楚江开，碧水东流至此回。两岸青山相对出，孤帆一片日边来。,https://so.gushiwen.cn/shiwenv_97e6296bfb8d.aspx
江南逢李龟年,唐代,杜甫,岐王宅里寻常见，崔九堂前几度闻。正是江南好风景，落花时节又逢君。,https://so.gushiwen.cn/shiwenv_514b8bc0ee4f.aspx
乌衣巷,唐代,刘禹锡,朱雀桥边野草花，乌衣巷口夕阳斜。 旧时王谢堂前燕，飞入寻常百姓家。,https://so.gushiwen.cn/shiwenv_8b671db8c10d.aspx
